                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.76785,                0.49057,                0.88128,                0.92727,                0.93709,                0.98321,                0.75376,                0.94322,                0.55541,                0.95902,               0.000755,               0.000755,               0.000755
                     63,                0.76405,                0.51732,                0.88791,                  0.959,                0.93156,                0.98321,                0.75721,                0.95992,                0.55818,                0.95752,             0.00074675,             0.00074675,             0.00074675
                     64,                0.76767,                0.50585,                0.88605,                0.97473,                 0.8575,                0.96642,                0.74146,                0.97371,                0.55362,                0.97281,              0.0007385,              0.0007385,              0.0007385
                     65,                0.78598,                0.51219,                0.88038,                0.92544,                0.86371,                0.96159,                 0.7026,                 1.0623,                0.57957,                0.99131,             0.00073025,             0.00073025,             0.00073025
                     66,                0.74043,                0.50017,                0.87734,                0.94525,                0.84422,                0.96485,                0.76826,                0.90058,                0.58028,                0.93894,               0.000722,               0.000722,               0.000722
                     67,                0.77924,                0.52914,                0.89912,                0.98437,                0.85371,                0.97167,                0.76399,                0.95749,                0.54121,                 0.9631,             0.00071375,             0.00071375,             0.00071375
                     68,                0.76863,                    0.5,                0.88003,                0.94377,                0.89856,                0.98222,                0.75996,                0.96154,                0.50138,                0.95096,              0.0007055,              0.0007055,              0.0007055
                     69,                0.76516,                0.51367,                0.88723,                0.96695,                      1,                  0.995,                0.77443,                0.96077,                0.45817,                0.95954,             0.00069725,             0.00069725,             0.00069725
                     70,                0.77139,                0.48887,                0.87812,                0.96909,                      1,                  0.995,                0.78074,                0.90987,                0.46521,                0.94362,               0.000689,               0.000689,               0.000689
                     71,                0.76202,                0.48751,                0.88263,                0.97495,                      1,                  0.995,                0.79172,                0.89317,                0.46657,                0.93644,             0.00068075,             0.00068075,             0.00068075
                     72,                0.77193,                0.50193,                0.88823,                 0.9892,                0.93403,                  0.995,                0.82013,                0.91583,                0.52093,                0.94196,              0.0006725,              0.0006725,              0.0006725
                     73,                0.76805,                0.48589,                0.89207,                0.98821,                0.92838,                  0.995,                0.81757,                0.88174,                0.51096,                0.91784,             0.00066425,             0.00066425,             0.00066425
                     74,                0.75812,                0.48352,                0.87739,                 0.9296,                0.93423,                0.98929,                0.77413,                0.98678,                0.51344,                0.96431,               0.000656,               0.000656,               0.000656
                     75,                0.78258,                0.49236,                0.88352,                0.93254,                0.93174,                0.97714,                0.77027,                0.92368,                0.50022,                0.94115,             0.00064775,             0.00064775,             0.00064775
                     76,                0.76328,                0.47917,                0.87827,                0.93001,                0.92857,                0.96829,                0.75419,                0.92725,                0.54235,                0.95723,              0.0006395,              0.0006395,              0.0006395
                     77,                0.76019,                0.49294,                0.88234,                0.93188,                0.92857,                0.97944,                 0.7627,                 0.9592,                0.53265,                0.95402,             0.00063125,             0.00063125,             0.00063125
